2,1668979810.976839085;1668979810.964752016,1668979810.993189544;1668979810.979915675,1668979811.009953393;1668979810.995630154,1668979811.024724861;1668979811.012487433,1668979811.040579991;1668979811.027111652
3,1668979811.061105739;1668979811.045360670,1668979811.079156928;1668979811.063609689,1668979811.094705427;1668979811.081311798,1668979811.112571835;1668979811.096954156,1668979811.130804434;1668979811.115553665
4,1668979811.154236272;1668979811.135321144,1668979811.178696141;1668979811.156695503,1668979811.203740859;1668979811.181226850,1668979811.229403927;1668979811.206687159,1668979811.253308455;1668979811.231827577
5,1668979811.277323054;1668979811.258139945,1668979811.301258392;1668979811.279844823,1668979811.326512460;1668979811.303825452,1668979811.348365149;1668979811.329114900,1668979811.372196996;1668979811.351174669
6,1668979811.403596015;1668979811.376782896,1668979811.429884592;1668979811.405960134,1668979811.456396751;1668979811.432468102,1668979811.487412368;1668979811.458893900,1668979811.516055536;1668979811.490612028
7,1668979811.549320144;1668979811.520978086,1668979811.577641202;1668979811.552419924,1668979811.609034080;1668979811.580166171,1668979811.637894527;1668979811.611498059,1668979811.669366325;1668979811.640792197
8,1668979811.706892512;1668979811.674384165,1668979811.739881510;1668979811.709552162,1668979811.774969687;1668979811.742679500,1668979811.810441355;1668979811.777559917,1668979811.844339802;1668979811.813157095
9,1668979811.882066650;1668979811.849746932,1668979811.919559077;1668979811.885579650,1668979811.953913085;1668979811.922153607,1668979811.990565922;1668979811.956504194,1668979812.029278340;1668979811.992949602
10,1668979812.073281236;1668979812.033659919,1668979812.112561133;1668979812.075566516,1668979812.149292471;1668979812.114605593,1668979812.189322818;1668979812.152142811,1668979812.230897794;1668979812.191783697
11,1668979812.274693752;1668979812.236377614,1668979812.317767428;1668979812.277587281,1668979812.360727916;1668979812.320512978,1668979812.404603832;1668979812.363070665,1668979812.445942869;1668979812.406958392
12,1668979812.491843556;1668979812.450535839,1668979812.538910822;1668979812.494334776,1668979812.580329339;1668979812.541972812,1668979812.621702847;1668979812.582337599,1668979812.658737494;1668979812.624038486
13,1668979812.707521070;1668979812.663440703,1668979812.754405457;1668979812.709871230,1668979812.800030324;1668979812.756877087,1668979812.846405040;1668979812.802305443,1668979812.890809637;1668979812.849063000
14,1668979812.939572804;1668979812.895105807,1668979812.976909281;1668979812.942070413,1668979813.025495297;1668979812.978893911,1668979813.071848584;1668979813.027638257,1668979813.117327750;1668979813.073843004
15,1668979813.172658917;1668979813.121660440,1668979813.221804913;1668979813.175417146,1668979813.274836019;1668979813.224270733,1668979813.330028835;1668979813.277294589,1668979813.382770191;1668979813.332738355
16,1668979813.441438638;1668979813.388667901,1668979813.494957523;1668979813.444091777,1668979813.542966370;1668979813.497194863,1668979813.596825076;1668979813.545133560,1668979813.648460832;1668979813.599840196
